Вопрос,Ответ
"Что делать с иностранными гражданами.Родитель ещё сможет в гос услуги зайти (инструкция есть), ребёнок старше 14 лет, сможет подтвердить гос услуги.А вот ребёнок до 14 лет, ин гражданин ? Ему же учётную запись уже не смогут создать",Порядок подключения иностранных детей до 14 лет будет сообщен дополнительно
"г.о. Павловский Посад, МОУ СОШ 18Подскажите, как быть с двоечниками, у которых пересдача в сентябре? Выпустить? Отчислить? Куда их девать?",Пока не отчислять до пересдачи
Пока не отчислять до пересдачи,Но тогда не все будут переведены в новый учебный год
Но тогда не все будут переведены в новый учебный год,"Это допустимая ситуация, их надо будет выпустить после сдачи экзаменов"
"1.В эжд все классы занесены в параллель 9, поэтому не дает прикрепить уч.планы, составвить расписание и тд2. При переносе контингента в 10 класс 31 ученик занесен в  10, а 1 ученик в другой 10, один ученик не внесен в класс после приказа о переводе на след.уч.год. Что с этим делать?","1. Не понятна ситуация с 9 паралелью, что мешает прикреплять учебные планы, составлять расписание и т.п.?2. Если 1 ученик есть в обруче, перевести в нужный класс, по ученику который не перевелся обращение в СТП"
"Я уже задавала вопрос почему не проявляется педагог. Может быть причина в том, что я забыла внести данный предмет в УП, начала делать нагрузку учителям и потом увидела, что не хватает 1 ч, НО тут было написано, что если прикрепили нагрузку, то УП нельзя поменять. А я внесла ОРКСЭ в УП 4 класса, Это может быть причиной??? Если да, то как лучше исправить ошибку",Перепроверить учебный план. Забытый час прикрепить к классу и учителю.
"Добрый вечер. Уже почти 5 дней назад завели новых сотрудников в ОбрУчете, но они до сих пор не появились в ЭЖ. Как быть? Учителям нужен будет доступ уже завтра, чтобы заниматься поурочными планами.","Обращение в СТП, если обращение было более 2 суток назад, сообщить номер"
"тоже самое. При внесении расписания на 1 сентября, копирует его сам на 25 августа",Это технический сбой
"Для контингента только в том случае; если его нет нигде (в обручете и в эжд) верно? Только тогда заполняем шаблон? Если контингент есть хоть где-то, то не заполняем? Правильно?",Да
"Глючит эжд, показывает 21 час в неделю верно, но предмету не правятся. Почему-то показывает, что математики 0",А если переключить на вкладку По предметам на правой панели?
"Созданное расписание возможно как-то удалить полностью? Или каждый день, каждый урок по отдельности убирать?",Расписание можно быстро удалить на странице Расписание  -  Расписание на год. Около каждой недели стоит крестик. Удаляется Расписание всей школы сразу на конкретную неделю.
Здравствуйте. Подскажите пожалуйста:1. как правильно добавить предмет разговор о важном?2. Как сделать предметы безоценочными?,"Разговоры о важном  - это внеурочеая деятельность. В учебный план не добавляется. Есть в разделе именно внеурочки.Предметы не надо делать безотметочными как-то отдельно. В конце учебного периода при выставление итоговой отметки поставить Б/О или ""зачет/незачет""."
"МБОУ СОШ №30 г.о.КоломнаСистема до сих пор не заработала! Может быть Министерство услышит нас и разрешит за оставшиеся 4 дня до 1 сентября  внести расписание в старый школьный портал и спокойно начать учебный год там, постепенно наполняя  в почти неработающую новую систему данные?  И перейти на нее, когда там работа у всех наладится и все будет реально готово для перехода на нее?",Это от какого времени сообщение?
"Когда обещают вернуть приказы из архивов, или это как-то можно сделать самостоятельно?","Это тоже сбой, ожидаем"
"Доброе утро. г.о. Долгопрудный , школа 14 , Не могу отчислить ребенка .","Тамара обещала в чате что починят вчера, не починили"
"Здравствуйте. МБОУ «ЛСОШ №9», Луховицы Что делать с детьми (надомное обучение), которые сейчас в общем списке, как переводить их на надомное обучение?",В личной карточке ученика есть справа раздел Надомное обучение. В нем выставить периоды надомного обучения.
"Просим определить точные сроки, так как начальство уже спрашивает","Работы продолжаются, о завершении Вы будете обязательно осведомлены"
"Что за ерунда такая с ОРКСЭ... Ни одного учителя не видит, как вообще выдавать нагрузку учителям 4 классов.","Проверить в учебном плане для ОРКСЭ выбрана ли дисциплина (внутри).Справа в фильтре поставить или прочерк, или ""любой""."
"Доброе утро!Подскажите, для массового занесения контингента, был заполнен шаблон, возник вопрос по последней колонке, я заполнила указав дату зачисления в школу. Необходимо указать дату зачисления, вопрос: дата зачисления в школу или в данный класс?",В школу
"Доброе утро, что с нашим вопросом? Мы писали НМ Новиковой, тишина",Какой ИНН?
"Доброе утро!Подскажите,пожалуйста, откуда информация про 10 лет? Все инструкции,чат-бот указывают на 14 лет!","Вопросы под номерами 15, 16, 17, 21 и 22 в чат-боте освещают указанную тему"
"Доброе утро! Какие Периоды промежуточной аттестации нужно указать, чтобы было все правильно? Спасибо за помощь.",Периоды промежуточный аттестации школа указывает в соответствии со своими документами:1. По триместрам 2. По полугодиям
"Доброе утро! Учебных недель 34 или 35 для 2-8 и 10? Сказали же, что в июне уроков не будет, только внеурочная деятельность! Спасибо!","Да, уроков не будет, но в систему необходимо внести планирование на весь период. С 1 по 7 июня поставить повторение изученного."
Подскажите когда я детей привязываю к учебному плану период у меня с 01.09 2023 по 31.08.2024 это правильно?,"Да, это правильно."
"Здравствуйте. Подскажите, пожалуйста, если у одного ребёнка есть РИ родителя, а у второго ребёнка он не погрузился, как второму прописать этот РИ? Удалить родителя и заново добавить?",В СТП
"Спасибо, что не бросаете))))С начальной школой проблем нет. По крайней мере с учебными планами, так как при выборе адапт.образования, появляются все нужные предметы.А с 5-9 классами ПРОБЛЕМА. Вчера ночью проверяла -ничего не изменилось.Итак, я начинаю работать с уч.планом, все выбираю: название, параллель и прочее, в конце ставлю галочку АДАПТИРОВАННОЕ , выбираю с пролонгацией.... открывается план... и первые 3 секунды у меня на экране виден раздел ""язык и речевая практика "", но потом он исчезает. Вот. Понимаю, что похоже на бред, но так и есть. В разделе физическая культура есть только просто физическая, и нет адаптивной.Итог: Я могу выбрать все предметы, что нужно, кроме развития речи и адаптивной физической культуры.  Эти предметы существуют в каталоге предметов, но я не могу выбрать из списка в учебном плане, потому что их там нет. В каталоге есть, а в учебном плане эти предметы не предлагаются для выбора","С этим необходимо обратиться в СТП. Если пропадает раздел, то это технический сбой."
"г.о, Красногорск. МБОУ Ангеловская СОШ Может вопрос не в тему. Можно ли как в старой системе опубликовать расписание на 1 неделю, а затем опубликовать другое расписание?","Да, можно"
"Коллеги, не можем отчислить детей , они летом выбыли","Системный сбой, ожидаем исправления"
"В учебном плане есть предмет Духовное краеведение, в справочнике ПРЕДМЕТЫ нет его. Что делать.",Такого предмета нет во ФГОС.
г.о.Клин МОУ-СОШ им.В.В.Талалихина Добавили нового сотрудника в ЭЖ. При авторизации в личном кабинете выходит вкладка с недоступными сервисами. Что делать дальше?,В СТП
"🙋даже не знаю как правильно изложить вопрос✅девочка Аброкова Варвара Максимовна в обручете, а в ЭЖ перешла под фамилией мамы ОрловаКак быть? Поменять в ЭЖ фамилию нет возможности Надо как то работать с обручетом и объединять. Это просто нарушение полное, если оставить фамилию мамы. ❗","Дождаться пока появится в обручете, там поменять"
"Там например СР для детей у которых есть паспорт, т.е. паспорт не обязателен?",Для детей или паспорт или СОР
"Доброе утро! Как отвечать родителям, если они не хотят заходить через Госуслуги и ссылаются на закон.",Вопрос 17 в чат-боте
МАОУ Перспектива г. Химки. Доброе утро! Когда появится приказ о зачислении контингента в обручете?  3 сутки не можем перевести детей на новый учебный год. В чат и техподдержку обращались неоднократно.,"Системная ошибка, решается"
"г.о.Дубна, Лицей ""Дубна"" 1) У родителя все данные в Обр учете верны, РИ есть, но у ребенка он не отображается. В чем может быть причина?2) 55 детей есть в ОБр учете, РИ есть, но в журнале не появились. Что делать?",Запроос в СТП
"мбоу опалиховская гимназия г.о. Красногорск в Эж. 804 ученика, а в обр учете 776(это первые классы которые нужно распределить по классам, но в обр учете их нет)!!!!что делать?",Ждать когда распределятся техподдержкой
"МОУ Хорловская школа-интернат, весь первый класс (8 человек) не отображается в обручете, как следствие нет возможности ввести родителей тем, у кого они не отображаются",Ждать когда появятся
"Подскажите, как быть если при составление учебного плана прописываем иностранный язык (английский и немецкий), добавляем второй иностранный он разрешает выбрать только английский или только немецкий","Для иностранных языков должно быть два разных учебных плана:1 вариант: иностранный язык английский, второй язык немецкий2 вариант: иностранный язык немецкий, второй язык английский."
"г.о. Воскресенск МОУ ""Виноградовская СОШ"" Не получается сделать учебный план. на 1ой недели только 5 часов на 10 недели 17 часов. Почему это не работает автоматически? Это надо сопоставлять расписание и учебный план? на старом шп работало это автоматически. Или что я делаю не так?",Учебный план необходимо делать единый на все недели. На красные квадратики с превышением часов на некоторых неделях не обращаем внимания. Это нормально.
"Раменский г.о., МОУ Власовская СОШ 13,  В процессе работы над учебным планом, не могу добавить физическую культуру, как быть?","В какой предметной области смотрят? Необходимо выбрать предметную область ""Физическая культура и основы безопасности жизнедеятельности""."
"Добрый день. Как отчислить ребёнка, если приказ о переводе был 29.05.23 #218?","Проверить, что приказ о зачислении не в архиве"
МОУ Павловическая СОШ. Талдомский городской округ. На обучении рассматриваем раздел справочники. Зашли в кадры журнала. И... Ужас. Слетело классное руководство. Выставить снова не даёт. Отображаются не все классы,Обращение в СТП
"Кто сталкивался? В обручете идут А, Б и В. В ЭЖД подряд два Б класса, В класс отсутствует.","В ЭЖ дубль, СТП должна удалить"
"Как понять в таком случае, с кем конфликт?!",Через обращение в СТП
"Создаём уже второе заявление,но кнопка «предварительно зачислить отсутствует»,красное поле с ошибкой при этом отсутствует.Как быть?",сначала нажать поставить на учёт надо
В обручете нет ни одного педагога. В ЭЖД они есть. Сами интегрируются в будущем?,Перенесутся
"Я уже обращалась с таким вопросомВ 10 кл предмет Алгебра, а у меня выбор а нет названий только алг и нач анализа✅пересмотрела разные профили, нет в шаблонах в 10 кл предмет Алгебра. На какой шаблон ориентироваться? Или вообще заново свой создать. Предмет Алгебра создан на данный уровень, но не даёт выбрать","В 10 классе нет предмета ""Алгебра""! Есть только ""алгебра и начала математического анализа""!"
"Как родителю добавить ещё детей, чтобы в дневнике был доступ ко всем?",Необходимо проверить привязку детей на Госуслугах
"Подскажите, 11 класс у нас профиль универсальный, а при создании УП данного профиля нет только такие, что выбирать?","Такой профиль есть, надо бегунок справа пролистать вниз."
"В 10 классе нет предмета ""Алгебра"".Есть только ""алгебра и начала математического анализа""",В нашем УП прописаны Алгебра и Геометрия (психолого-педагог класс)
Добрый день! Почему когда распределяешь нагрузку все классы параллели с литерой null?,В стп
Не могу внести изменения в учебный план. Неактивны функции по выбору предметов. Учебный план ещё не привязан к классам. Подскажите пожалуйста в чем проблема?,Такого не должно быть. Надо в СТП обратиться.
"МБОУ ""Гимназия №8"" Коломна: необходимо произвести коррекцию режима пребывания - немного сдвинулись уроки и перемены, но программа не сохраняет мои изменения. Классы отвязать тоже не получается. Подскжаите как это обойти?","При наведении курсора на горизонтальную панель с аббревиатурами дней появляется пиктограмма ""Настройки дня""."
"1. У меня нет в данный момент учетной записи на госуслугах. Какая опция предусмотрена в подобном случае? 2. Как я понимаю мои данные и данные моих детей без моего согласия и без моего ведома были внесены в систему, основание? Просьба дать разъяснения по этим вопросам.",Я так понял это мама
"Ещё выявленая ошибка:В обр.учете отображаются все классы, а в приказе о комплектовании не все. И зачислить в нужный класс не получится.","Потому что у них 3Б была приписана программа общего образования и он должен был показываться ниже в приказе. Исправила, пусть переформируют список"
учебные планы 9 классы  - ФГОС 2.0 или ФГОС 3.0?,Пока ФГОС 2.0 для 9 классов.
"❓уже был задан вопрос по УП в 11 кл. По ФГОС в УП нет алг и геометрии. Не можем выбрать алг и нач..., геометрияКак быть?",Составлять учебный план только по ФГОС!
"Подскажите пожалуйста,  как сделать виртуального учителя невиртуальным?",Внести педагога в Обручете. Когда он появится в ЭЖ профили можно будет слить
А что делать с педагогами которые не появляются в обручете ?,Они появятся в середине сентября
Добрый день! Ни в обручете ни в ЭЖД нет 2 обучающихся ( не перенесены из ШП) скорее всего из-за иностранного свидетельства о рождении. Что делать? 🤔,Вносить через заявления на перевод
"МОУ Давыдовский лицей: не хватает одного учителя в системе (перевелся из другой школы), как его зачислить?",В обручете
"Здравствуйте, не могу зарегистрироваться на курсы. Пришлите , пожалуйста, ссылку как заходить .",Ссылка на регистрация на курсы была выслана всем муниципальным координаторам. Ссылка разослана.
"г.о. Воскресенск МОУ ""Виноградовская СОШ"" 1.  Превышает количество часов на 1ой недели и 10-ой недели что делать?",Ничего не делать. Это нормально.
"Подскажите, пожалуйста, в учебном плане прописано Курсы из части, формируемой участниками образовательных отношений. - математика. А при выборе в МЭШ не отображается математика","Математика - это предмет, а не курс. Если школа увеличивает часы на этот предмет, то в самом предмете добавляет час."
Жуковский МОУ школа 8Можем ли мы самостоятельно решить проблему задвоенных 1х и 10х  классов переведя детей в обручете в один класс и удалив лишние классы?,"да, могут"
Не могу добавить в УП 5 класса физическую культуру.,"Предмет ""физическая культура"" расположен в предметной области ""физическая культура и основы безопасности жизнедеятельности"". В указанном разделе этого предмета нет."
"Здравствуйте, подскажите, когда будут созданы учётные записи для муниципальных координаторов? Данные для этих целей мы направляли",Вопрос в работе
"Допустила ошибку при создании карточки сотрудника, теперь система не дает создать новый правильный...как быть?",В СТП
"Здравствуйте. Пакетная загрузка через шаблон работает, не отменили?","Для кадров нет, для контингента да"
"При заполнении детей вручную, после того как подано новое заявление и ученик предварительно зачислен что делаем для появления ребёнка в системе? Издаем приказ?",Приказ о комплектовании
"Красногорск,СОШ 20. У меня 10б(без пробела,я создала) и 10-б(с тире,создала система). В какой детей вносить?",В СТП
"А в чем проблема, на Госуслугах подтвержденная учебная запись и при входе по ссылке на МЭШ выдает успешно авторизован","Скорее всего скачали не то приложение, нужно Моя школа.Дневник"
"На телефоне Дневник, а с компьютера по ссылке https://authedu.mosreg.ru/mo","Почистить кэш, перейти по ссылке myschool.mosreg.ru"
Создаю шаблон учебного плана. Куда делись кнопки Сохранить как шаблон и Сохранить?,План еще не создан. Надо полностью его создать.
"Где по классам, привязка к младшему УП. Здесь буду менять. Хотя бы так. Спасибо.",Это правильно.
"Коллеги, дайте совет по эффективной начальной школе. как быть во втором полугодии, детей переводить приказом во второй класс этого же года и привязывать уже УП 2 класса?","Для эффективной началки необходимо создать два учебных плана для 1 класса и для 2 класса, но один календарный график."
"г.о.Дубна, Лицей ""Дубна"" У родителя не появляется РИ, в чем может быть причина (все данные верны))",Что ответить?
"МБОУ ШОВЗ, г.о. Мытищи, доступа до сих пор нет, пишет ""нет учётной записи"", кеш, куки почищены. Кнопка ""написать нам"" неактивна",Заявка в СТП
"Добрый день, МБОУ ""Средняя школа №1 им. В.Н. Леонова"". Не могу зачислить ребенка по программе АОП в 12 класс т.к. программа рассчитана на 9 лет обучения. Как быть в такой ситуации?",надо ставить для 12 класса другой год освоения программы.
"Подскажите. Когда должны появиться в Организации обучения кадры, занесённые вручную. И как их объединить с виртуальным учителкм",Номер школы?
"УП 7 классПредмет алгебра добавила, открылся общий списокГеометрию и статистику не могу, открывается только математика, что я не так делаю","Сначала выбрать математика, потом рядом с этим названием появится плюсик, его нажать и выпадут алгебра, геометрия и статистика."
Не сохраняет уч план. Пишет что такой предмет уч плана уже существует,"Надо понимать, какие предметы вносили в учебный план. Так не ясно."
"Вопрос. Предмет - профильный труд. 3 направления-столярное дело, швейное дело, цветоводово. Разные группы в одном классе. Нужно создавать предметы с расшифровкой профиля? Или  создавать группы, но их профиль не указывать?",Создать группы
Добрый день! Ни в обручете ни в ЭЖД нет 2 обучающихся ( не перенесены из ШП) скорее всего из-за иностранного свидетельства о рождении. Что делать? 🤔,Вносить руками
"А для обучающихся на дому тоже надо составлять режим пребывания, чтобы потом сформировать расписание?","Если режим пребывания надомника отличается, то делать отдельный режим пребывания."
"МБОУ г. Пушкино СОШ 7 Гусакова М. В. и Головин Д.П. администраторы, но во вкладке общее образование под вкладки СПРАВОЧНИКИ нет, работать дальше не можем",Обращение в СТП
"Добрый день. г.о.Лотошино МОУ ""Ушаковская СОШ"". Подскажите, пожалуйста, как быть учитель является и родителем тоже. Теперь может зайти только как родитель, а в кабинет как учитель попасть не может? Хотя ссылки для входа разные, но работает только кабинет родителя",В СТП
"Подскажите, предмет по выбору в учебном плане можно выбрать только из предложенного списка? Самим добавлять нельзя?","Предметы добавлять нельзя, можно добавить только учебные курсы, если в списке подходящих нет."
"У нас новый директор и пару коллег, мы их вносим через ОбрУчет, а потом я пишу Новиковой для выдачи административных прав, я правильно понимаю?","Сначала, внести сотрудников, потом они авторизуются, а потом пишут Новиковой"
"Решена проблема с невозможностью перевода и отчисления контингента, в связи с архивированием приказа на зачисление. Если у кого-то сохраняется - сначала почистить cookies (ОБАЗТЕЛЬНО) и кэш, перезагрузить браузер и повторить авторизацию.","Проблема действительно решена, и у меня наконец-то получилось выпустить приказ! Но в ЭЖ эти дети перешли в статус выбывших...и что с этим теперь делать?....."
"По классам кнопки даже нет загрузки, только график прибывания отображает","А точно прошли все предварительные этапы? Группы присоединили, учителей по группам назначили?"
Здравствуйте. Родитель видит только одного ребенка в личном кабинете. Что делать?,"второму ребёнку в карточку вписать этого же родителя, чтобы появилось одно рк айди родителя"
"Здравствуйте! 1. Подскажите,  пожалуйста,  как изменить максимальное количество часов в учебном плане. У нас добавлены часы из гимназического компонента (система пишет 21, а у нас 25 на самом деле)2. Не видим в учебном плане возможность выбрать разговоры о важном. Нет такого названия.","Разговоры о важном - это внеурочная деятельность! Не входит в учебный план. Максимальное количество часов в учебном плане соответствует СанПин. Его нельзя менять.Думаю, что гимнастический компонент - это тоже внеурочка."
"Здравствуйте. При составлении расписания не могу проставить на один урок разные предметы по группам.  Один и тот же предмет (анг 1 гр, англ 2 гр) идёт легко, а разные предметы (англ 1гр, техн 2гр) не могу внести.  Подскажите, пожалуйста.","Проверить, может быть в двух группах учится один и тот же ребенок."
"Добрый день. МБОУ СОШ 16, Красногорск.1) 1 и 10 классы появились в ЭЖД, но некоторые уже выбыли или были переведены в другие классы. В обручете их нет2) часть детей есть в обручете, но их нет в ЭЖД. Как поступать в данном случае? 3) Планирование на 37 учебных недель - это про календарный график?",Третий вопрос - это про поурочные планы для учителей.
"А что делать? 13 детей из 10 класса попали в отчисленные, значит не смогут видеть расписание 1 сентября",Зачислять заново
"В рекомендованном учебном графике для 2-8, 10 по МО - 36 недель)",Система прикрепляет поурочные планы с условием 37 недель.
"Здравствуйте! Подскажите, пожалуйста, почему не сохраняется учебный план?","В пояснении всё четко написано: в учебном плане есть предмет, для которого указаны учебные часы. Пока часы есть, предмет удалить нельзя."
"Скажите пожалуйста, у учителей будет возможность добавить поурочное и календарно-тематическое планирование только после того, как мы опубликуем расписание? Или после привязки учебных планов к классам уже будет такая возможность?","Привязку к классам можно сделать, если класс назначен учителю. КТП можно сделать только после расписания, т.к. даты появятся."
"Подскажите, как быть. Класс комплект 2,3, учителя работают в этом классе по учебным планам 2 и 3 класса, в журнале они тоже отдельно друг от друга. Ставим нагрузка по этим классам в системе, у этих учителей, работающих в этом классе, перебор.","Система не понимает, как вести журнал для 2 и 3 классов одновременно."
"Спросите, пожалуйста, если я прикреплю детей к уч планам. Потом я могу спокойно его отчислить?",Конечно
"Добрый день, подскажите, как удалить режимы пребывания , составлены неправильно",Он прикреплен к классам?
Нам объединили корпуса и сейчас при переводе на след учебный год выдает такую ошибку. Что это значит,"Скорректировать дату приказа о переводе, чтобы она была позже приказа о зачислении"
"Подскажите, пожалуйста,  как сделать промежуточную аттестацию?! Нет инструкций","1. Раздел Общее образование2. Раздел Периоды промежуточной аттестации,3. Справа над фильтрами выбрать Аттестационные периоды4. Выбрать активную ссылку ""Добавить график аттестационных периодов""5. Далее называть период и указывать даты6. Сохранить."
Ребёнок из Сирии. Свидетельство о рождении без серии и номера. Система не пропускает без этих данных. Снилс есть,"Уточни, на самом деле документ без серии и номера? Ни разу с таким не сталкивался"
"Ещё раз напишете ... Если я, администратор, выдала нагрузку и вижу её... У учителей появляется сразу это, или через какое-то время. Если да, то сколько ждать... Час, сутки... Если нет, то что ещё нужно сделать, какие провести волшебства в это чудо-платформе??? Спасибо 🙏","Может пройти немного времени, чтобы учитель увидел нагрузку. Пусть учитель попробует перезайти. Обычно занимает около 30-40 минут."
"При формировании классов столкнулись с такими проблемами:1. В нашем учреждении из-за особенностей развития детей образовательная программа растянута. Вначале дети идут в дополнительный класс 1-А(д). Для них это первый год получения начального образования. В следующем году их переводят в 1-А класс, где для них получается второй год получения начального образования. И т. д. до 4-А класса, где у них должен быть 5-й год. Но в обручете при формировании класса я могу выбирать максимум только 4-й год. Исправьте чтобы можно было выбрать 5-й год обучения в начальных классах.2. То же самое с основным общим образованием, дети её получают в 5, 6, 7, 8, 9 и 10 классах (опять же из-за растянутой образовательной программы). Значит они её проходят за 6 лет. Исправьте чтобы можно было выбрать 6-й год обучения в классах с основным общим образованием.3. Среднее общее образование дети у нас получают в 11-м и 12-м классах. Добавьте возможность выбирать 12-ю параллель.","При составлении учебных планов есть возможность выбрать ""С увеличением года освоения""."
"А подскажите еще, пожалуйста, на 1 сентября не получается скопировать расписание со следующей недели с пятницы( назначаю копировать один день назад) выбрать 1 неделю нет возможности",Лучше назад не копировать. Потом проблемы возникают. Лучше на один день сделать расписание.
"ВОПРОС: При составлении учебного плана, мы делаем учебный план на параллель. У нас модульная (триместровая) система обучения. Первые 6 недель у всех полные (не считая первой недели - 1 сентября). Проблем в почасовке не возникает. Как быть далее с  последующими неделями? 7 неделя начинается со вторника, то есть минус 1 рабочий день, и вот 1х классов уже 17 часов, а не 21. Хорошо, я делаю по 4 часа в неделю русского и математики, но это только минус 2 часа, дальше я могу убрать по 1 часу лит.чтения, но ведь не во всех классах может быть лит. чтение по понедельникам, у кого-то потеряется музыка, у кого-то изо. Как в этой ситуации делать учебный план?",Учебный план создается на полную неделю. Поэтому на некоторых неделях он подсвечивается красным.
"Подскажите, пожалуйста, что я неправильно делаю: при создании учебных планов (использую шаблон) не проставляется количество алгебры, геометрии и вероятности.","В строке ""математика"" есть средняя пиктограмма, при нажатии на нее можно разбить часы по внутренним предметам"
